Date,Filière,Valeur (TWh),"Nature	"
1/1/24,Nuclear,"35	925790564938",Données Consolidées
1/2/24,Nuclear,"30	732701088268",Données Consolidées
1/3/24,Nuclear,"29	894501689584",Données Consolidées
1/4/24,Nuclear,"26	670103615333",Données Consolidées
1/5/24,Nuclear,"27	846070517741",Données Consolidées
1/6/24,Nuclear,"26	367144548511",Données Consolidées
1/7/24,Nuclear,"28	581336680507",Données Consolidées
1/8/24,Nuclear,"28	598406833673",Données Consolidées
1/9/24,Nuclear,"27	447947349506",Données Consolidées
1/10/24,Nuclear,"29	963102453516",Données Consolidées
1/11/24,Nuclear,"33	030789641422",Données Consolidées
1/12/24,Nuclear,"36	651863008421",Données Consolidées
1/1/24,Hydropower,"7	848305011989",Données Consolidées
1/2/24,Hydropower,"6	386104392757",Données Consolidées
1/3/24,Hydropower,"7	559663627279",Données Consolidées
1/4/24,Hydropower,"6	129436918617",Données Consolidées
1/5/24,Hydropower,"7	797584607312",Données Consolidées
1/6/24,Hydropower,"6	697679993303",Données Consolidées
1/7/24,Hydropower,"5	932969534866",Données Consolidées
1/8/24,Hydropower,"4	281753306649",Données Consolidées
1/9/24,Hydropower,"4	033408527636",Données Consolidées
1/10/24,Hydropower,"6	541941770226",Données Consolidées
1/11/24,Hydropower,"5	30085861193",Données Consolidées
1/12/24,Hydropower,"6	775699413534",Données Consolidées
1/1/24,Wind,"5	452773180517",Données Consolidées
1/2/24,Wind,"5	821825508108",Données Consolidées
1/3/24,Wind,"4	5659868050932",Données Consolidées
1/4/24,Wind,"4	631424700179",Données Consolidées
1/5/24,Wind,"2	580478730067",Données Consolidées
1/6/24,Wind,"2	383273954404",Données Consolidées
1/7/24,Wind,"2	142191695704",Données Consolidées
1/8/24,Wind,"2	153823208309",Données Consolidées
1/9/24,Wind,"4	126944007582",Données Consolidées
1/10/24,Wind,"3	368975279867",Données Consolidées
1/11/24,Wind,"4	134301614852",Données Consolidées
1/12/24,Wind,"5	484994270256",Données Consolidées
1/1/24,Solar,"0	868187082365",Données Consolidées
1/2/24,Solar,"1	109758737259",Données Consolidées
1/3/24,Solar,"1	995817035691",Données Consolidées
1/4/24,Solar,"2	428035153726",Données Consolidées
1/5/24,Solar,"2	708447227664",Données Consolidées
1/6/24,Solar,"2	908955298519",Données Consolidées
1/7/24,Solar,"3	310858225493",Données Consolidées
1/8/24,Solar,"3	295965214994",Données Consolidées
1/9/24,Solar,"2	346641180723",Données Consolidées
1/10/24,Solar,"1	685079910982",Données Consolidées
1/11/24,Solar,"1	199894881949",Données Consolidées
1/12/24,Solar,"0	910300391283",Données Consolidées
1/1/24,Fossil-fired thermal,"4	11908633814",Données Consolidées
1/2/24,Fossil-fired thermal,"2	687895955708",Données Consolidées
1/3/24,Fossil-fired thermal,"2	470488039392",Données Consolidées
1/4/24,Fossil-fired thermal,"0	68645796679",Données Consolidées
1/5/24,Fossil-fired thermal,"0	446082773814",Données Consolidées
1/6/24,Fossil-fired thermal,"0	529339028875",Données Consolidées
1/7/24,Fossil-fired thermal,"0	770995347674",Données Consolidées
1/8/24,Fossil-fired thermal,"0	800516086623",Données Consolidées
1/9/24,Fossil-fired thermal,"0	880162690543",Données Consolidées
1/10/24,Fossil-fired thermal,"0	798848571085",Données Consolidées
1/11/24,Fossil-fired thermal,"2	94118681298",Données Consolidées
1/12/24,Fossil-fired thermal,"2	851196192944",Données Consolidées
1/1/24,Renewable thermal and waste,"0	879047903236",Données Consolidées
1/2/24,Renewable thermal and waste,"0	879485299746",Données Consolidées
1/3/24,Renewable thermal and waste,"0	914960719949",Données Consolidées
1/4/24,Renewable thermal and waste,"0	847245777644",Données Consolidées
1/5/24,Renewable thermal and waste,"0	90823874452",Données Consolidées
1/6/24,Renewable thermal and waste,"0	841815515557",Données Consolidées
1/7/24,Renewable thermal and waste,"0	934902680667",Données Consolidées
1/8/24,Renewable thermal and waste,"0	930325376799",Données Consolidées
1/9/24,Renewable thermal and waste,"0	85649358131",Données Consolidées
1/10/24,Renewable thermal and waste,"0	83122697445",Données Consolidées
1/11/24,Renewable thermal and waste,"0	886843567587",Données Consolidées
1/12/24,Renewable thermal and waste,"0	935303795147",Données Consolidées
1/1/24,Autre,"0	009290937142",Données Consolidées
1/2/24,Autre,"0	009963940422",Données Consolidées
1/3/24,Autre,"0	006895256231",Données Consolidées
1/4/24,Autre,"0	0040034928150001",Données Consolidées
1/5/24,Autre,"0	00396135494",Données Consolidées
1/6/24,Autre,"0	004263689627",Données Consolidées
1/7/24,Autre,"0	004188330963",Données Consolidées
1/8/24,Autre,"0	004146247033",Données Consolidées
1/9/24,Autre,"0	004371155662",Données Consolidées
1/10/24,Autre,"0	004160331516",Données Consolidées
1/11/24,Autre,"0	007472686408",Données Consolidées
1/12/24,Autre,"0	009285092331",Données Consolidées
1/1/24, Total generation,"55	102481018327",Données Consolidées
1/2/24, Total generation,"47	627734922268",Données Consolidées
1/3/24, Total generation,"47	408313173219",Données Consolidées
1/4/24, Total generation,"41	396707625104",Données Consolidées
1/5/24, Total generation,"42	290863956058",Données Consolidées
1/6/24, Total generation,"39	732472028796",Données Consolidées
1/7/24, Total generation,"41	677442495874",Données Consolidées
1/8/24, Total generation,"40	06493627408",Données Consolidées
1/9/24, Total generation,"39	695968492962",Données Consolidées
1/10/24, Total generation,"43	193335291642",Données Consolidées
1/11/24, Total generation,"47	501347817128",Données Consolidées
1/12/24, Total generation,"53	618642163916",Données Consolidées